YYYYMM,Value,Description,Unit
199402,135521.483,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199403,138020.41,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199404,123992.011,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199405,130799.282,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199406,152297.287,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199407,157096.865,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199408,156436.879,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199409,136604.499,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199410,134182.723,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199411,127988.517,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199412,140143.288,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199501,147220.464,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199502,132900.242,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199503,131429.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199504,123075.938,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199505,130418.121,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199506,142845.57,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199507,163519.32,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199508,172128.181,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199509,139910.494,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199510,135947.424,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199511,138514.304,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199512,151516.596,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199601,157323.537,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199602,142053.138,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199603,143003.407,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199604,129580.8,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199605,138974.494,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199606,150947.294,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199607,163639.74,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199608,167075.001,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199609,147125.838,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199610,147467.719,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199611,150048.015,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199612,157956.61,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199701,166253.884,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199702,139411.673,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199703,142318.611,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199704,136166.77,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199705,140554.952,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199706,150747.51,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199707,172213.043,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199708,167540.145,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199709,156278.769,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199710,156902.377,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199711,150754.835,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199712,165873.168,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199801,162283.624,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199802,141543.723,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199803,149790.257,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199804,137324.321,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199805,150679.218,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199806,163107.639,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199807,178962.217,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199808,178504.985,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199809,160694.909,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199810,149853.817,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199811,143094.577,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199812,157676.402,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199901,164875.549,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199902,141731.078,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199903,150737.71,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199904,142214.22,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199905,148536.568,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199906,161781.572,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199907,183181.866,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199908,177326.788,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199909,158189.209,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199910,150773.584,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199911,144243.552,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
