Date,Price,Open,High,Low,Volume,Change(%)
2-Nov-21,1697.9,1695,1706.45,1686.35,3471772,-0.13%
1-Nov-21,1700.05,1677.5,1707.2,1676,3636806,1.94%
29-Oct-21,1667.75,1699,1712.6,1661.05,5875091,-2.12%
28-Oct-21,1703.9,1719.35,1724.75,1692.05,5329972,-1.45%
27-Oct-21,1728.95,1709.1,1734.15,1701.15,5090259,1.48%
26-Oct-21,1703.7,1710.05,1726.6,1695.9,5871709,-0.23%
25-Oct-21,1707.55,1722.05,1729.75,1687.2,5905209,-0.71%
22-Oct-21,1719.8,1749.9,1763.2,1707,7369809,-1.93%
21-Oct-21,1753.65,1814,1814,1746.85,8779629,-2.70%
20-Oct-21,1802.35,1829.4,1848,1794.05,5876115,-1.09%
19-Oct-21,1822.15,1814,1834.5,1782.3,10324260,1.67%
18-Oct-21,1792.15,1740,1799,1740,13438109,4.45%
14-Oct-21,1715.75,1754,1783.6,1698.2,19655776,0.38%
13-Oct-21,1709.2,1695.95,1713.65,1680.05,7104171,1.43%
12-Oct-21,1685.15,1677,1689,1662,7439300,-0.34%
11-Oct-21,1690.95,1682,1730,1663.7,8840633,-1.91%
8-Oct-21,1723.85,1705.25,1731.5,1698.4,4738376,1.94%
7-Oct-21,1691,1687,1704.2,1676.65,5476108,1.04%
6-Oct-21,1673.55,1702.1,1709,1670,4271698,-1.14%
5-Oct-21,1692.8,1671,1702.95,1663,4373310,0.84%
4-Oct-21,1678.75,1672.5,1688,1665.4,2947154,0.82%
1-Oct-21,1665.15,1665.1,1678.95,1661.25,5733906,-0.60%
30-Sep-21,1675.2,1703,1703,1670.1,6914031,-1.01%
29-Sep-21,1692.25,1659.25,1701.4,1655,7792548,0.31%
28-Sep-21,1687.1,1710,1710,1675,6557197,-1.98%
27-Sep-21,1721.15,1768.75,1769,1718.1,5045337,-2.42%
24-Sep-21,1763.85,1758,1788,1752.45,8280446,1.22%
23-Sep-21,1742.55,1732,1745,1721.1,3826090,1.49%
22-Sep-21,1716.9,1717,1738.9,1713.05,4553892,-0.09%
21-Sep-21,1718.45,1700,1726.75,1684.65,4672222,1.81%
