Date,Price,Open,High,Low,Volume,Change(%)
8-Apr-19,200.55,206,207.4,198.8,23877595,-2.24%
5-Apr-19,205.15,208,209.5,202.3,32057373,-0.49%
4-Apr-19,206.15,201.85,206.9,201.05,41268908,2.38%
3-Apr-19,201.35,205,208.95,199.2,81779620,-0.79%
2-Apr-19,202.95,188.05,204.4,185.3,100834335,8.33%
1-Apr-19,187.35,176.35,189.75,176.35,46389181,7.52%
29-Mar-19,174.25,171.15,177.05,171,17780440,2.17%
28-Mar-19,170.55,169,171.4,167.55,13203927,0.41%
27-Mar-19,169.85,174,175,169.15,10047628,-1.88%
26-Mar-19,173.1,171.9,173.6,171.6,7820112,1.05%
25-Mar-19,171.3,173.7,173.8,170.55,11864723,-2.34%
22-Mar-19,175.4,181.95,182,174.9,11505994,-2.66%
20-Mar-19,180.2,183,183.45,179.6,7543753,-1.45%
19-Mar-19,182.85,182,184.5,180.75,10318028,0.33%
18-Mar-19,182.25,181,184.7,179.5,14690339,1.25%
15-Mar-19,180,180.2,181.4,177.6,17490993,0.25%
14-Mar-19,179.55,181.5,182.45,177.65,15737080,-1.18%
13-Mar-19,181.7,184.45,184.9,180.4,9769821,-1.68%
12-Mar-19,184.8,184.4,186,183.55,18657724,1.62%
11-Mar-19,181.85,182,184.6,181.05,25669662,0.36%
8-Mar-19,181.2,187.8,187.95,180,28012914,-4.28%
7-Mar-19,189.3,191.4,193.45,187.8,27051501,0.26%
6-Mar-19,188.8,195.4,195.4,187.75,22468702,-2.71%
5-Mar-19,194.05,183.8,198.35,181.4,58138551,7.63%
1-Mar-19,180.3,178.65,184,177.35,20539919,1.61%
28-Feb-19,177.45,180,181.55,176.6,18692372,0.06%
27-Feb-19,177.35,183.55,186.1,176.1,19723906,-2.90%
26-Feb-19,182.65,173,183.45,172.5,31859427,3.93%
25-Feb-19,175.75,175.15,177.5,173.5,15554532,0.83%
22-Feb-19,174.3,170,175.3,167.85,13011477,2.71%
21-Feb-19,169.7,165.6,170.6,165.1,14811723,2.97%
20-Feb-19,164.8,164.45,166.7,163.75,11610728,0.64%
19-Feb-19,163.75,164,165.95,161.55,14533142,0.52%
18-Feb-19,162.9,162.8,163.45,159.2,13503666,0.77%
